valor
29222
30174
30265
30439
30198
30126
30351
30516
30459
30770
30347
30434
30571
31023
30801
31450
31368
31317
30090
29789
30730
30901
30794
31024
30607
30935
30303
30352
30392
30325
30498
30806
31170
30969
31212
31153
30842
30994
31377
31000
31481
31223
31286
31669
31324
31344
30679
30576
30746
30651
30481
30158
30711
30642
30735
30778
31100
31321
31552
31703
31658
31501
31461
31385
31608
31428
31626
31997
31906
32067
32193
31975
31883
31788
32424
31833
31594
31781
31789
31972
32235
32413
32067
31159
31482
31686
31339
32161
31890
31920
31981
31783
32045
32056
32385
32493
32805
32689
32368
32690
32486
32243
32113
32087
31555
31559
30530
30681
30503
31023
31466
32040
32109
33376
33311
33639
33181
33216
33696
33670
33673
33271
33329
33319
33857
33775
33851
33805
33524
33840
33843
34045
34093
34503
34284
34346
34450
34311
34509
34473
34378
34249
34370
34640
34829
34843
34712
34518
34741
34975
35140
35279
35135
35300
35401
35156
34968
34966
35411
35462
35297
35230
35524
35280
35384
34606
35084
35715
35742
36056
36200
36160
36212
36110
36176
36274
36426
36446
36295
36296
36064
35956
36139
35964
35721
36456
36266
36342
36428
36275
37179
37313
37372
37498
37366
37371
37720
37511
37442
37032
37088
37279
37269
37143
37472
37858
38008
37963
38074
38443
38577
38406
38615
38684
38695
38559
38635
39002
39106
38984
38614
38892
39062
38757
38662
38706
38826
38928
38943
39173
38931
39491
39358
39572
39652
38984
38936
38965
39336
39293
39180
38554
39078
39294
39269
39148
39211
39203
39385
39121
39201
39451
39740
39772
39846
39892
40209
40154
40277
40168
40376
40081
40339
40533
40333
40494
70991
70872
71115
71073
71350
71763
71804
71620
72115
71391
72061
72201
72685
72600
72409
72263
71102
71816
72267
72668
73239
73183
72896
72742
72642
73138
73368
73481
73741
73867
73982
74258
74299
74451
74381
74271
74603
74287
73252
73371
73936
73814
73537
73114
73250
73640
73393
73332
73389
73589
73256
72935
72913
72696
72673
72592
72198
72394
72116
71594
71874
72422
71821
71705
70486
71095
71037
70612
70016
70228
71729
71443
71597
71095
72223
72592
72526
72729
72929
72856
72618
72958
73756
73363
73238
73933
74561
74472
75160
75656
75317
75419
75792
76054
76578
76617
77431
77311
76707
77202
77799
77183
77451
77583
75486
76262
75106
75636
75202
76486
78271
77738
78038
78296
77541
77637














